Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Body Color,Head Color,Leg Color,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S153202286,Oak Titmouse,Baeolophus inornatus,21761,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-10-27,03:23 PM,Grey,Light Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S156250701,Oak Titmouse,Baeolophus inornatus,21761,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-12-13,09:32 AM,Grey,Light Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S173212206,Tufted Titmouse,Baeolophus bicolor,21771,X,US-CT,New London,L31511996,Dennison Homestead,41.362597,-71.9461,2024-05-09,12:46 PM,White,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S150121656,Violet-green Swallow,Tachycineta thalassina,23659,X,US-CA,Contra Costa,L26291492,Home,37.772468,-121.954731,2023-09-17,,Green,White,Black,eBird - Casual Observation,,0,,,1,,,,
S146512461,Barn Swallow,Hirundo rustica,23772,X,US-CA,Calaveras,L26409660,Arnold Meadowmont,38.239785,-120.363327,2023-08-05,10:15 AM,Blue,Chestnut,Black,eBird - Casual Observation,,0,,,1,,,,
S160210140,Bushtit,Psaltriparus minimus,24829,X,US-CA,Contra Costa,L26291492,Home,37.772468,-121.954731,2024-01-30,,White,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S168007607,Wrentit,Chamaea fasciata,25004,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-10,,Light Brown ,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S168007197,Wrentit,Chamaea fasciata,25004,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-10,08:27 AM,Light Brown ,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S153442894,Ruby-crowned Kinglet,Corthylio calendula,26391,X,US-CA,Contra Costa,L26291492,Home,37.772468,-121.954731,2023-10-30,,Light Grey,Red,Black,eBird - Casual Observation,,0,,,1,,,,
S148771268,White-breasted Nuthatch,Sitta carolinensis,26436,X,US-MN,Crow Wing,L26866556,Karen’s House,46.472745,-93.949242,2023-09-02,09:13 AM,Blue Grey,White,Black,eBird - Casual Observation,,0,,,1,,,,
S148446432,White-breasted Nuthatch,Sitta carolinensis,26436,X,US-MN,Hubbard,L26821489,Jim’s Cottage,47.00078,-94.924378,2023-08-30,09:12 AM,Blue Grey,White,Black,eBird - Casual Observation,,0,,,1,,,,
S147386070,White-breasted Nuthatch,Sitta carolinensis,26436,X,CA-ON,Parry Sound,L26604930,Cottage,45.620504,-80.420971,2023-08-16,07:05 AM,Blue Grey,White,Black,eBird - Casual Observation,,0,,,1,,,,
S150120450,Red-breasted Nuthatch,Sitta canadensis,26484,X,US-KS,Cloud,L27131159,Home,39.558246,-97.51876,2023-09-17,,Chestnut,Blue Grey,Brown,eBird - Casual Observation,,0,,,1,,,,
